intent,user_message,response
order_status,Where is my order 81,Please share your order ID to check the current status.
order_status,Track my order 82,Please share your order ID to check the current status.
order_status,Order status 83,Please share your order ID to check the current status.
order_status,Order delivery update 84,Please share your order ID to check the current status.
order_status,My order is delayed 85,Please share your order ID to check the current status.
order_status,Order kab ayega 86,Please share your order ID to check the current status.
order_status,Order kaha hai 87,Please share your order ID to check the current status.
order_status,Delivery status 88,Please share your order ID to check the current status.
order_status,Where is my order 89,Please share your order ID to check the current status.
order_status,Track my order 90,Please share your order ID to check the current status.
order_status,Order status 91,Please share your order ID to check the current status.
order_status,Order delivery update 92,Please share your order ID to check the current status.
order_status,My order is delayed 93,Please share your order ID to check the current status.
order_status,Order kab ayega 94,Please share your order ID to check the current status.
order_status,Order kaha hai 95,Please share your order ID to check the current status.
order_status,Delivery status 96,Please share your order ID to check the current status.
order_status,Where is my order 97,Please share your order ID to check the current status.
order_status,Track my order 98,Please share your order ID to check the current status.
order_status,Order status 99,Please share your order ID to check the current status.
order_status,Order delivery update 100,Please share your order ID to check the current status.
order_status,My order is delayed 101,Please share your order ID to check the current status.
order_status,Order kab ayega 102,Please share your order ID to check the current status.
order_status,Order kaha hai 103,Please share your order ID to check the current status.
order_status,Delivery status 104,Please share your order ID to check the current status.
order_status,Where is my order 105,Please share your order ID to check the current status.
order_status,Track my order 106,Please share your order ID to check the current status.
order_status,Order status 107,Please share your order ID to check the current status.
order_status,Order delivery update 108,Please share your order ID to check the current status.
order_status,My order is delayed 109,Please share your order ID to check the current status.
order_status,Order kab ayega 110,Please share your order ID to check the current status.
order_status,Order kaha hai 111,Please share your order ID to check the current status.
order_status,Delivery status 112,Please share your order ID to check the current status.
order_status,Where is my order 113,Please share your order ID to check the current status.
order_status,Track my order 114,Please share your order ID to check the current status.
order_status,Order status 115,Please share your order ID to check the current status.
order_status,Order delivery update 116,Please share your order ID to check the current status.
order_status,My order is delayed 117,Please share your order ID to check the current status.
order_status,Order kab ayega 118,Please share your order ID to check the current status.
order_status,Order kaha hai 119,Please share your order ID to check the current status.
order_status,Delivery status 120,Please share your order ID to check the current status.
order_status,Where is my order 121,Please share your order ID to check the current status.
order_status,Track my order 122,Please share your order ID to check the current status.
order_status,Order status 123,Please share your order ID to check the current status.
order_status,Order delivery update 124,Please share your order ID to check the current status.
order_status,My order is delayed 125,Please share your order ID to check the current status.
order_status,Order kab ayega 126,Please share your order ID to check the current status.
order_status,Order kaha hai 127,Please share your order ID to check the current status.
order_status,Delivery status 128,Please share your order ID to check the current status.
order_status,Where is my order 129,Please share your order ID to check the current status.
order_status,Track my order 130,Please share your order ID to check the current status.
order_status,Order status 131,Please share your order ID to check the current status.
order_status,Order delivery update 132,Please share your order ID to check the current status.
order_status,My order is delayed 133,Please share your order ID to check the current status.
order_status,Order kab ayega 134,Please share your order ID to check the current status.
order_status,Order kaha hai 135,Please share your order ID to check the current status.
order_status,Delivery status 136,Please share your order ID to check the current status.
order_status,Where is my order 137,Please share your order ID to check the current status.
order_status,Track my order 138,Please share your order ID to check the current status.
order_status,Order status 139,Please share your order ID to check the current status.
order_status,Order delivery update 140,Please share your order ID to check the current status.
order_status,My order is delayed 141,Please share your order ID to check the current status.
order_status,Order kab ayega 142,Please share your order ID to check the current status.
order_status,Order kaha hai 143,Please share your order ID to check the current status.
order_status,Delivery status 144,Please share your order ID to check the current status.
order_status,Where is my order 145,Please share your order ID to check the current status.
order_status,Track my order 146,Please share your order ID to check the current status.
order_status,Order status 147,Please share your order ID to check the current status.
order_status,Order delivery update 148,Please share your order ID to check the current status.
order_status,My order is delayed 149,Please share your order ID to check the current status.
order_status,Order kab ayega 150,Please share your order ID to check the current status.
order_status,Order kaha hai 151,Please share your order ID to check the current status.
order_status,Delivery status 152,Please share your order ID to check the current status.
order_status,Where is my order 153,Please share your order ID to check the current status.
order_status,Track my order 154,Please share your order ID to check the current status.
order_status,Order status 155,Please share your order ID to check the current status.
order_status,Order delivery update 156,Please share your order ID to check the current status.
order_status,My order is delayed 157,Please share your order ID to check the current status.
order_status,Order kab ayega 158,Please share your order ID to check the current status.
order_status,Order kaha hai 159,Please share your order ID to check the current status.
order_status,Delivery status 160,Please share your order ID to check the current status.
order_status,Where is my order 161,Please share your order ID to check the current status.
order_status,Track my order 162,Please share your order ID to check the current status.
order_status,Order status 163,Please share your order ID to check the current status.
order_status,Order delivery update 164,Please share your order ID to check the current status.
order_status,My order is delayed 165,Please share your order ID to check the current status.
order_status,Order kab ayega 166,Please share your order ID to check the current status.
order_status,Order kaha hai 167,Please share your order ID to check the current status.
order_status,Delivery status 168,Please share your order ID to check the current status.
order_status,Where is my order 169,Please share your order ID to check the current status.
order_status,Track my order 170,Please share your order ID to check the current status.
order_status,Order status 171,Please share your order ID to check the current status.
order_status,Order delivery update 172,Please share your order ID to check the current status.
order_status,My order is delayed 173,Please share your order ID to check the current status.
order_status,Order kab ayega 174,Please share your order ID to check the current status.
order_status,Order kaha hai 175,Please share your order ID to check the current status.
order_status,Delivery status 176,Please share your order ID to check the current status.
order_status,Where is my order 177,Please share your order ID to check the current status.
order_status,Track my order 178,Please share your order ID to check the current status.
order_status,Order status 179,Please share your order ID to check the current status.
order_status,Order delivery update 180,Please share your order ID to check the current status.
order_status,My order is delayed 181,Please share your order ID to check the current status.
order_status,Order kab ayega 182,Please share your order ID to check the current status.
order_status,Order kaha hai 183,Please share your order ID to check the current status.
order_status,Delivery status 184,Please share your order ID to check the current status.
order_status,Where is my order 185,Please share your order ID to check the current status.
order_status,Track my order 186,Please share your order ID to check the current status.
order_status,Order status 187,Please share your order ID to check the current status.
order_status,Order delivery update 188,Please share your order ID to check the current status.
order_status,My order is delayed 189,Please share your order ID to check the current status.
order_status,Order kab ayega 190,Please share your order ID to check the current status.
order_status,Order kaha hai 191,Please share your order ID to check the current status.
order_status,Delivery status 192,Please share your order ID to check the current status.
order_status,Where is my order 193,Please share your order ID to check the current status.
order_status,Track my order 194,Please share your order ID to check the current status.
order_status,Order status 195,Please share your order ID to check the current status.
order_status,Order delivery update 196,Please share your order ID to check the current status.
order_status,My order is delayed 197,Please share your order ID to check the current status.
order_status,Order kab ayega 198,Please share your order ID to check the current status.
order_status,Order kaha hai 199,Please share your order ID to check the current status.
order_status,Delivery status 200,Please share your order ID to check the current status.
order_status,Where is my order 201,Please share your order ID to check the current status.
order_status,Track my order 202,Please share your order ID to check the current status.
order_status,Order status 203,Please share your order ID to check the current status.
order_status,Order delivery update 204,Please share your order ID to check the current status.
order_status,My order is delayed 205,Please share your order ID to check the current status.
order_status,Order kab ayega 206,Please share your order ID to check the current status.
order_status,Order kaha hai 207,Please share your order ID to check the current status.
order_status,Delivery status 208,Please share your order ID to check the current status.
order_status,Where is my order 209,Please share your order ID to check the current status.
order_status,Track my order 210,Please share your order ID to check the current status.
order_status,Order status 211,Please share your order ID to check the current status.
order_status,Order delivery update 212,Please share your order ID to check the current status.
order_status,My order is delayed 213,Please share your order ID to check the current status.
order_status,Order kab ayega 214,Please share your order ID to check the current status.
order_status,Order kaha hai 215,Please share your order ID to check the current status.
order_status,Delivery status 216,Please share your order ID to check the current status.
order_status,Where is my order 217,Please share your order ID to check the current status.
order_status,Track my order 218,Please share your order ID to check the current status.
order_status,Order status 219,Please share your order ID to check the current status.
order_status,Order delivery update 220,Please share your order ID to check the current status.
order_status,My order is delayed 221,Please share your order ID to check the current status.
order_status,Order kab ayega 222,Please share your order ID to check the current status.
order_status,Order kaha hai 223,Please share your order ID to check the current status.
order_status,Delivery status 224,Please share your order ID to check the current status.
order_status,Where is my order 225,Please share your order ID to check the current status.
order_status,Track my order 226,Please share your order ID to check the current status.
order_status,Order status 227,Please share your order ID to check the current status.
order_status,Order delivery update 228,Please share your order ID to check the current status.
order_status,My order is delayed 229,Please share your order ID to check the current status.
order_status,Order kab ayega 230,Please share your order ID to check the current status.
order_status,Order kaha hai 231,Please share your order ID to check the current status.
order_status,Delivery status 232,Please share your order ID to check the current status.
order_status,Where is my order 233,Please share your order ID to check the current status.
order_status,Track my order 234,Please share your order ID to check the current status.
order_status,Order status 235,Please share your order ID to check the current status.
order_status,Order delivery update 236,Please share your order ID to check the current status.
order_status,My order is delayed 237,Please share your order ID to check the current status.
order_status,Order kab ayega 238,Please share your order ID to check the current status.
order_status,Order kaha hai 239,Please share your order ID to check the current status.
order_status,Delivery status 240,Please share your order ID to check the current status.
order_status,Where is my order 241,Please share your order ID to check the current status.
order_status,Track my order 242,Please share your order ID to check the current status.
order_status,Order status 243,Please share your order ID to check the current status.
order_status,Order delivery update 244,Please share your order ID to check the current status.
order_status,My order is delayed 245,Please share your order ID to check the current status.
order_status,Order kab ayega 246,Please share your order ID to check the current status.
order_status,Order kaha hai 247,Please share your order ID to check the current status.
order_status,Delivery status 248,Please share your order ID to check the current status.
order_status,Where is my order 249,Please share your order ID to check the current status.
order_status,Track my order 250,Please share your order ID to check the current status.
order_status,Order status 251,Please share your order ID to check the current status.
order_status,Order delivery update 252,Please share your order ID to check the current status.
order_status,My order is delayed 253,Please share your order ID to check the current status.
order_status,Order kab ayega 254,Please share your order ID to check the current status.
order_status,Order kaha hai 255,Please share your order ID to check the current status.
order_status,Delivery status 256,Please share your order ID to check the current status.
order_status,Where is my order 257,Please share your order ID to check the current status.
order_status,Track my order 258,Please share your order ID to check the current status.
order_status,Order status 259,Please share your order ID to check the current status.
order_status,Order delivery update 260,Please share your order ID to check the current status.
order_status,My order is delayed 261,Please share your order ID to check the current status.
order_status,Order kab ayega 262,Please share your order ID to check the current status.
order_status,Order kaha hai 263,Please share your order ID to check the current status.
order_status,Delivery status 264,Please share your order ID to check the current status.
order_status,Where is my order 265,Please share your order ID to check the current status.
order_status,Track my order 266,Please share your order ID to check the current status.
order_status,Order status 267,Please share your order ID to check the current status.
order_status,Order delivery update 268,Please share your order ID to check the current status.
order_status,My order is delayed 269,Please share your order ID to check the current status.
order_status,Order kab ayega 270,Please share your order ID to check the current status.
order_status,Order kaha hai 271,Please share your order ID to check the current status.
order_status,Delivery status 272,Please share your order ID to check the current status.
order_status,Where is my order 273,Please share your order ID to check the current status.
order_status,Track my order 274,Please share your order ID to check the current status.
order_status,Order status 275,Please share your order ID to check the current status.
order_status,Order delivery update 276,Please share your order ID to check the current status.
order_status,My order is delayed 277,Please share your order ID to check the current status.
order_status,Order kab ayega 278,Please share your order ID to check the current status.
order_status,Order kaha hai 279,Please share your order ID to check the current status.
order_status,Delivery status 280,Please share your order ID to check the current status.
order_status,Where is my order 281,Please share your order ID to check the current status.
order_status,Track my order 282,Please share your order ID to check the current status.
order_status,Order status 283,Please share your order ID to check the current status.
order_status,Order delivery update 284,Please share your order ID to check the current status.
order_status,My order is delayed 285,Please share your order ID to check the current status.
order_status,Order kab ayega 286,Please share your order ID to check the current status.
order_status,Order kaha hai 287,Please share your order ID to check the current status.
order_status,Delivery status 288,Please share your order ID to check the current status.
order_status,Where is my order 289,Please share your order ID to check the current status.
order_status,Track my order 290,Please share your order ID to check the current status.
order_status,Order status 291,Please share your order ID to check the current status.
order_status,Order delivery update 292,Please share your order ID to check the current status.
order_status,My order is delayed 293,Please share your order ID to check the current status.
order_status,Order kab ayega 294,Please share your order ID to check the current status.
order_status,Order kaha hai 295,Please share your order ID to check the current status.
order_status,Delivery status 296,Please share your order ID to check the current status.
order_status,Where is my order 297,Please share your order ID to check the current status.
order_status,Track my order 298,Please share your order ID to check the current status.
order_status,Order status 299,Please share your order ID to check the current status.
order_status,Order delivery update 300,Please share your order ID to check the current status.
order_status,My order is delayed 301,Please share your order ID to check the current status.
order_status,Order kab ayega 302,Please share your order ID to check the current status.
order_status,Order kaha hai 303,Please share your order ID to check the current status.
order_status,Delivery status 304,Please share your order ID to check the current status.
order_status,Where is my order 305,Please share your order ID to check the current status.
order_status,Track my order 306,Please share your order ID to check the current status.
order_status,Order status 307,Please share your order ID to check the current status.
order_status,Order delivery update 308,Please share your order ID to check the current status.
order_status,My order is delayed 309,Please share your order ID to check the current status.
order_status,Order kab ayega 310,Please share your order ID to check the current status.
order_status,Order kaha hai 311,Please share your order ID to check the current status.
order_status,Delivery status 312,Please share your order ID to check the current status.
order_status,Where is my order 313,Please share your order ID to check the current status.
order_status,Track my order 314,Please share your order ID to check the current status.
order_status,Order status 315,Please share your order ID to check the current status.
order_status,Order delivery update 316,Please share your order ID to check the current status.
order_status,My order is delayed 317,Please share your order ID to check the current status.
order_status,Order kab ayega 318,Please share your order ID to check the current status.
order_status,Order kaha hai 319,Please share your order ID to check the current status.
order_status,Delivery status 320,Please share your order ID to check the current status.
order_status,Where is my order 321,Please share your order ID to check the current status.
order_status,Track my order 322,Please share your order ID to check the current status.
order_status,Order status 323,Please share your order ID to check the current status.
order_status,Order delivery update 324,Please share your order ID to check the current status.
order_status,My order is delayed 325,Please share your order ID to check the current status.
order_status,Order kab ayega 326,Please share your order ID to check the current status.
order_status,Order kaha hai 327,Please share your order ID to check the current status.
order_status,Delivery status 328,Please share your order ID to check the current status.
order_status,Where is my order 329,Please share your order ID to check the current status.
order_status,Track my order 330,Please share your order ID to check the current status.
order_status,Order status 331,Please share your order ID to check the current status.
order_status,Order delivery update 332,Please share your order ID to check the current status.
order_status,My order is delayed 333,Please share your order ID to check the current status.
order_status,Order kab ayega 334,Please share your order ID to check the current status.
order_status,Order kaha hai 335,Please share your order ID to check the current status.
order_status,Delivery status 336,Please share your order ID to check the current status.
order_status,Where is my order 337,Please share your order ID to check the current status.
order_status,Track my order 338,Please share your order ID to check the current status.
order_status,Order status 339,Please share your order ID to check the current status.
order_status,Order delivery update 340,Please share your order ID to check the current status.
order_status,My order is delayed 341,Please share your order ID to check the current status.
order_status,Order kab ayega 342,Please share your order ID to check the current status.
order_status,Order kaha hai 343,Please share your order ID to check the current status.
order_status,Delivery status 344,Please share your order ID to check the current status.
order_status,Where is my order 345,Please share your order ID to check the current status.
order_status,Track my order 346,Please share your order ID to check the current status.
order_status,Order status 347,Please share your order ID to check the current status.
order_status,Order delivery update 348,Please share your order ID to check the current status.
order_status,My order is delayed 349,Please share your order ID to check the current status.
order_status,Order kab ayega 350,Please share your order ID to check the current status.
order_status,Order kaha hai 351,Please share your order ID to check the current status.
order_status,Delivery status 352,Please share your order ID to check the current status.
order_status,Where is my order 353,Please share your order ID to check the current status.
order_status,Track my order 354,Please share your order ID to check the current status.
order_status,Order status 355,Please share your order ID to check the current status.
order_status,Order delivery update 356,Please share your order ID to check the current status.
order_status,My order is delayed 357,Please share your order ID to check the current status.
order_status,Order kab ayega 358,Please share your order ID to check the current status.
order_status,Order kaha hai 359,Please share your order ID to check the current status.
order_status,Delivery status 360,Please share your order ID to check the current status.
order_status,Where is my order 361,Please share your order ID to check the current status.
order_status,Track my order 362,Please share your order ID to check the current status.
order_status,Order status 363,Please share your order ID to check the current status.
order_status,Order delivery update 364,Please share your order ID to check the current status.
order_status,My order is delayed 365,Please share your order ID to check the current status.
order_status,Order kab ayega 366,Please share your order ID to check the current status.
order_status,Order kaha hai 367,Please share your order ID to check the current status.
order_status,Delivery status 368,Please share your order ID to check the current status.
order_status,Where is my order 369,Please share your order ID to check the current status.
order_status,Track my order 370,Please share your order ID to check the current status.
order_status,Order status 371,Please share your order ID to check the current status.
order_status,Order delivery update 372,Please share your order ID to check the current status.
order_status,My order is delayed 373,Please share your order ID to check the current status.
order_status,Order kab ayega 374,Please share your order ID to check the current status.
order_status,Order kaha hai 375,Please share your order ID to check the current status.
order_status,Delivery status 376,Please share your order ID to check the current status.
order_status,Where is my order 377,Please share your order ID to check the current status.
order_status,Track my order 378,Please share your order ID to check the current status.
order_status,Order status 379,Please share your order ID to check the current status.
order_status,Order delivery update 380,Please share your order ID to check the current status.
order_status,My order is delayed 381,Please share your order ID to check the current status.
order_status,Order kab ayega 382,Please share your order ID to check the current status.
order_status,Order kaha hai 383,Please share your order ID to check the current status.
order_status,Delivery status 384,Please share your order ID to check the current status.
order_status,Where is my order 385,Please share your order ID to check the current status.
order_status,Track my order 386,Please share your order ID to check the current status.
order_status,Order status 387,Please share your order ID to check the current status.
order_status,Order delivery update 388,Please share your order ID to check the current status.
order_status,My order is delayed 389,Please share your order ID to check the current status.
order_status,Order kab ayega 390,Please share your order ID to check the current status.
order_status,Order kaha hai 391,Please share your order ID to check the current status.
order_status,Delivery status 392,Please share your order ID to check the current status.
order_status,Where is my order 393,Please share your order ID to check the current status.
order_status,Track my order 394,Please share your order ID to check the current status.
order_status,Order status 395,Please share your order ID to check the current status.
order_status,Order delivery update 396,Please share your order ID to check the current status.
order_status,My order is delayed 397,Please share your order ID to check the current status.
order_status,Order kab ayega 398,Please share your order ID to check the current status.
order_status,Order kaha hai 399,Please share your order ID to check the current status.
order_status,Delivery status 400,Please share your order ID to check the current status.
order_status,Where is my order 401,Please share your order ID to check the current status.
order_status,Track my order 402,Please share your order ID to check the current status.
order_status,Order status 403,Please share your order ID to check the current status.
order_status,Order delivery update 404,Please share your order ID to check the current status.
order_status,My order is delayed 405,Please share your order ID to check the current status.
order_status,Order kab ayega 406,Please share your order ID to check the current status.
order_status,Order kaha hai 407,Please share your order ID to check the current status.
order_status,Delivery status 408,Please share your order ID to check the current status.
order_status,Where is my order 409,Please share your order ID to check the current status.
order_status,Track my order 410,Please share your order ID to check the current status.
order_status,Order status 411,Please share your order ID to check the current status.
order_status,Order delivery update 412,Please share your order ID to check the current status.
order_status,My order is delayed 413,Please share your order ID to check the current status.
order_status,Order kab ayega 414,Please share your order ID to check the current status.
order_status,Order kaha hai 415,Please share your order ID to check the current status.
order_status,Delivery status 416,Please share your order ID to check the current status.
order_status,Where is my order 417,Please share your order ID to check the current status.
order_status,Track my order 418,Please share your order ID to check the current status.
order_status,Order status 419,Please share your order ID to check the current status.
order_status,Order delivery update 420,Please share your order ID to check the current status.
order_status,My order is delayed 421,Please share your order ID to check the current status.
order_status,Order kab ayega 422,Please share your order ID to check the current status.
order_status,Order kaha hai 423,Please share your order ID to check the current status.
order_status,Delivery status 424,Please share your order ID to check the current status.
order_status,Where is my order 425,Please share your order ID to check the current status.
order_status,Track my order 426,Please share your order ID to check the current status.
order_status,Order status 427,Please share your order ID to check the current status.
order_status,Order delivery update 428,Please share your order ID to check the current status.
order_status,My order is delayed 429,Please share your order ID to check the current status.
order_status,Order kab ayega 430,Please share your order ID to check the current status.
order_status,Order kaha hai 431,Please share your order ID to check the current status.
order_status,Delivery status 432,Please share your order ID to check the current status.
order_status,Where is my order 433,Please share your order ID to check the current status.
order_status,Track my order 434,Please share your order ID to check the current status.
order_status,Order status 435,Please share your order ID to check the current status.
order_status,Order delivery update 436,Please share your order ID to check the current status.
order_status,My order is delayed 437,Please share your order ID to check the current status.
order_status,Order kab ayega 438,Please share your order ID to check the current status.
order_status,Order kaha hai 439,Please share your order ID to check the current status.
order_status,Delivery status 440,Please share your order ID to check the current status.
order_status,Where is my order 441,Please share your order ID to check the current status.
order_status,Track my order 442,Please share your order ID to check the current status.
order_status,Order status 443,Please share your order ID to check the current status.
order_status,Order delivery update 444,Please share your order ID to check the current status.
order_status,My order is delayed 445,Please share your order ID to check the current status.
order_status,Order kab ayega 446,Please share your order ID to check the current status.
order_status,Order kaha hai 447,Please share your order ID to check the current status.
order_status,Delivery status 448,Please share your order ID to check the current status.
order_status,Where is my order 449,Please share your order ID to check the current status.
order_status,Track my order 450,Please share your order ID to check the current status.
order_status,Order status 451,Please share your order ID to check the current status.
order_status,Order delivery update 452,Please share your order ID to check the current status.
order_status,My order is delayed 453,Please share your order ID to check the current status.
order_status,Order kab ayega 454,Please share your order ID to check the current status.
order_status,Order kaha hai 455,Please share your order ID to check the current status.
order_status,Delivery status 456,Please share your order ID to check the current status.
order_status,Where is my order 457,Please share your order ID to check the current status.
order_status,Track my order 458,Please share your order ID to check the current status.
order_status,Order status 459,Please share your order ID to check the current status.
order_status,Order delivery update 460,Please share your order ID to check the current status.
order_status,My order is delayed 461,Please share your order ID to check the current status.
order_status,Order kab ayega 462,Please share your order ID to check the current status.
order_status,Order kaha hai 463,Please share your order ID to check the current status.
order_status,Delivery status 464,Please share your order ID to check the current status.
order_status,Where is my order 465,Please share your order ID to check the current status.
order_status,Track my order 466,Please share your order ID to check the current status.
order_status,Order status 467,Please share your order ID to check the current status.
order_status,Order delivery update 468,Please share your order ID to check the current status.
order_status,My order is delayed 469,Please share your order ID to check the current status.
order_status,Order kab ayega 470,Please share your order ID to check the current status.
order_status,Order kaha hai 471,Please share your order ID to check the current status.
order_status,Delivery status 472,Please share your order ID to check the current status.
order_status,Where is my order 473,Please share your order ID to check the current status.
order_status,Track my order 474,Please share your order ID to check the current status.
order_status,Order status 475,Please share your order ID to check the current status.
order_status,Order delivery update 476,Please share your order ID to check the current status.
order_status,My order is delayed 477,Please share your order ID to check the current status.
order_status,Order kab ayega 478,Please share your order ID to check the current status.
order_status,Order kaha hai 479,Please share your order ID to check the current status.
order_status,Delivery status 480,Please share your order ID to check the current status.
order_status,Where is my order 481,Please share your order ID to check the current status.
order_status,Track my order 482,Please share your order ID to check the current status.
order_status,Order status 483,Please share your order ID to check the current status.
order_status,Order delivery update 484,Please share your order ID to check the current status.
order_status,My order is delayed 485,Please share your order ID to check the current status.
order_status,Order kab ayega 486,Please share your order ID to check the current status.
order_status,Order kaha hai 487,Please share your order ID to check the current status.
order_status,Delivery status 488,Please share your order ID to check the current status.
order_status,Where is my order 489,Please share your order ID to check the current status.
order_status,Track my order 490,Please share your order ID to check the current status.
order_status,Order status 491,Please share your order ID to check the current status.
order_status,Order delivery update 492,Please share your order ID to check the current status.
order_status,My order is delayed 493,Please share your order ID to check the current status.
order_status,Order kab ayega 494,Please share your order ID to check the current status.
order_status,Order kaha hai 495,Please share your order ID to check the current status.
order_status,Delivery status 496,Please share your order ID to check the current status.
order_status,Where is my order 497,Please share your order ID to check the current status.
order_status,Track my order 498,Please share your order ID to check the current status.
order_status,Order status 499,Please share your order ID to check the current status.
order_status,Order delivery update 500,Please share your order ID to check the current status.
order_status,My order is delayed 501,Please share your order ID to check the current status.
order_status,Order kab ayega 502,Please share your order ID to check the current status.
